
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 1: -1214696418 -194866906 589 -1745896777
Y: 1: -1214696418 -194866906 589 -1745896777
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 2: 426997330 1676044123 -658952586 589 1047316327
Y: 2: 426997330 1676044123 -658952586 589 1047316327
Y: 3: -847112627 1676044412 1676044412 1990359817 589 1571622196
Y: 3: -847112627 1676044412 1676044412 1990359817 589 1571622196
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 3: -847112916 1676044123 1676044123 1839122938 589 1178246243
Y: 3: -847112916 1676044123 1676044123 1839122938 589 1178246243
Y: 3: 1283589311 715445709 1676044412 1045959256 589 -1934991419
Y: 3: 1283589311 715445709 1676044412 1045959256 589 -1934991419
Y: 3: -847112627 1676044412 1676044412 1990359817 589 1571622196
Y: 3: 1283589022 715445420 1676044123 894722377 589 1966599924
Y: 3: 1283589022 715445420 1676044123 894722377 589 1966599924
Y: 3: -1391339920 715445709 715445709 1726901174 589 1994338855
Y: 3: -1391339920 715445709 715445709 1726901174 589 1994338855
Y: 3: 1283589311 715445709 1676044412 1045959256 589 -1934991419
Y: 3: -1391340209 715445420 715445420 1575664295 589 1600962902
Y: 3: -1391340209 715445420 715445420 1575664295 589 1600962902
Y: 3: -1240534656 1001388218 715445709 2010332195 589 -2104201382
Y: 3: -1240534656 1001388218 715445709 2010332195 589 -2104201382
Y: 3: -1391339920 715445709 715445709 1726901174 589 1994338855
Y: 3: -1240534945 1001387929 715445420 1859095316 589 1797389961
Y: 3: -1240534945 1001387929 715445420 1859095316 589 1797389961
Y: 3: 379503409 1001388218 1001388218 -1806470747 589 -166008296
Y: 3: 379503409 1001388218 1001388218 -1806470747 589 -166008296
Y: 3: -1240534656 1001388218 715445709 2010332195 589 -2104201382
Y: 3: 379503120 1001387929 1001387929 -1957707626 589 -559384249
Y: 3: 379503120 1001387929 1001387929 -1957707626 589 -559384249
Y: 3: 379503409 1159988036 1001388218 -626523569 589 2052615854
Y: 3: 379503409 1159988036 1001388218 -626523569 589 2052615854
Y: 3: 379503409 1001388218 1001388218 -1806470747 589 -166008296
Y: 3: 379503120 1159987747 1001387929 -777760448 589 1659239901
Y: 3: 379503120 1159987747 1001387929 -777760448 589 1659239901
Y: 3: 379503409 722992659 1001388218 -1584351666 589 -1870251377
Y: 3: 379503409 722992659 1001388218 -1584351666 589 -1870251377
Y: 3: 379503409 1159988036 1001388218 -626523569 589 2052615854
Y: 3: 379503120 722992370 1001387929 -1735588545 589 2031339966
Y: 3: 379503120 722992370 1001387929 -1735588545 589 2031339966
Y: 3: 379503409 722992659 1159988036 393373796 589 -690304199
Y: 3: 379503409 722992659 1159988036 393373796 589 -690304199
Y: 3: 379503409 722992659 1001388218 -1584351666 589 -1870251377
Y: 3: 379503120 722992370 1159987747 242136917 589 -1083680152
Y: 3: 379503120 722992370 1159987747 242136917 589 -1083680152
Y: 3: 379503409 722992659 722992659 2025044101 589 -1648132296
Y: 3: 379503409 722992659 722992659 2025044101 589 -1648132296
Y: 3: 379503409 722992659 1159988036 393373796 589 -690304199
Y: 3: 379503120 722992370 722992370 1873807222 589 -2041508249
Y: 3: 379503120 722992370 722992370 1873807222 589 -2041508249
Y: 3: 379503409 1159988036 1159988036 1351201893 589 -1062404264
Y: 3: 379503409 1159988036 1159988036 1351201893 589 -1062404264
Y: 3: 379503409 1159988036 1001388218 -626523569 589 2052615854
Y: 3: 379503120 1159987747 1159987747 1199965014 589 -1455780217
Y: 3: 379503120 1159987747 1159987747 1199965014 589 -1455780217
Y: 3: 379503409 722992659 1159988036 393373796 589 -690304199
Y: 3: 379503409 1159988036 722992659 -1312095098 589 -2020232361
Y: 3: 379503409 1159988036 722992659 -1312095098 589 -2020232361
Y: 3: 379503409 1159988036 1159988036 1351201893 589 -1062404264
Y: 3: 379503120 1159987747 722992370 -1463331977 589 1881358982
Y: 3: 379503120 1159987747 722992370 -1463331977 589 1881358982
Y: 3: 379503409 722992659 722992659 2025044101 589 -1648132296
Y: 3: 379503409 1001388218 1159988036 171254715 589 1013938882
Y: 3: 379503409 1001388218 1159988036 171254715 589 1013938882
Y: 3: 379503409 1001388218 1001388218 -1806470747 589 -166008296
Y: 3: 379503120 1001387929 1159987747 20017836 589 620562929
Y: 3: 379503120 1001387929 1159987747 20017836 589 620562929
Y: 3: 379503409 1159988036 1159988036 1351201893 589 -1062404264
Y: 3: 379503409 1001388218 722992659 1802925020 589 56110785
Y: 3: 379503409 1001388218 722992659 1802925020 589 56110785
Y: 3: 379503409 1001388218 1159988036 171254715 589 1013938882
Y: 3: 379503120 1001387929 722992370 1651688141 589 -337265168
Y: 3: 379503120 1001387929 722992370 1651688141 589 -337265168
Y: 3: 379503409 1159988036 722992659 -1312095098 589 -2020232361
Y: 3: -1240534656 1159988036 715445709 -1104687923 589 114422768
Y: 3: -1240534656 1159988036 715445709 -1104687923 589 114422768
Y: 3: -1240534656 1001388218 715445709 2010332195 589 -2104201382
Y: 3: -1240534945 1159987747 715445420 -1255924802 589 -278953185
Y: 3: -1240534945 1159987747 715445420 -1255924802 589 -278953185
Y: 3: 379503409 1159988036 1001388218 -626523569 589 2052615854
Y: 3: -1240534656 722992659 715445709 -2062516020 589 486522833
Y: 3: -1240534656 722992659 715445709 -2062516020 589 486522833
Y: 3: -1240534656 1159988036 715445709 -1104687923 589 114422768
Y: 3: -1240534945 722992370 715445420 2081214397 589 93146880
Y: 3: -1240534945 722992370 715445420 2081214397 589 93146880
Y: 3: 379503409 722992659 1001388218 -1584351666 589 -1870251377
Y: 3: -1240534656 722992659 874045527 -84790558 589 1666470011
Y: 3: -1240534656 722992659 874045527 -84790558 589 1666470011
Y: 3: -1240534656 722992659 715445709 -2062516020 589 486522833
Y: 3: -1240534945 722992370 874045238 -236027437 589 1273094058
Y: 3: -1240534945 722992370 874045238 -236027437 589 1273094058
Y: 3: 379503409 722992659 1159988036 393373796 589 -690304199
Y: 3: -1240534656 722992659 437050150 1546879747 589 708641914
Y: 3: -1240534656 722992659 437050150 1546879747 589 708641914
Y: 3: -1240534656 722992659 874045527 -84790558 589 1666470011
Y: 3: -1240534945 722992370 437049861 1395642868 589 315265961
Y: 3: -1240534945 722992370 437049861 1395642868 589 315265961
Y: 3: 379503409 722992659 722992659 2025044101 589 -1648132296
Y: 3: -1240534656 1159988036 874045527 873037539 589 1294369946
Y: 3: -1240534656 1159988036 874045527 873037539 589 1294369946
Y: 3: -1240534656 1159988036 715445709 -1104687923 589 114422768
Y: 3: -1240534945 1159987747 874045238 721800660 589 900993993
Y: 3: -1240534945 1159987747 874045238 721800660 589 900993993
Y: 3: 379503409 1159988036 1159988036 1351201893 589 -1062404264
Y: 3: -1240534656 722992659 874045527 -84790558 589 1666470011
Y: 3: -1240534656 1159988036 437050150 -1790259452 589 336541849
Y: 3: -1240534656 1159988036 437050150 -1790259452 589 336541849
Y: 3: -1240534656 1159988036 874045527 873037539 589 1294369946
Y: 3: -1240534945 1159987747 437049861 -1941496331 589 -56834104
Y: 3: -1240534945 1159987747 437049861 -1941496331 589 -56834104
Y: 3: 379503409 1159988036 722992659 -1312095098 589 -2020232361
Y: 3: -1240534656 722992659 437050150 1546879747 589 708641914
Y: 3: -1240534656 1001388218 874045527 -306909639 589 -924254204
Y: 3: -1240534656 1001388218 874045527 -306909639 589 -924254204
Y: 3: -1240534656 1001388218 715445709 2010332195 589 -2104201382
Y: 3: -1240534945 1001387929 874045238 -458146518 589 -1317630157
Y: 3: -1240534945 1001387929 874045238 -458146518 589 -1317630157
Y: 3: 379503409 1001388218 1159988036 171254715 589 1013938882
